"","V1","V2","V3","V4"
"1",-4,272,-254.459,184.540000000001
"2",-2.62111737292729,54.0706776721075,-73.1549180669598,78.2923936969091
"3",-1.68673646294819,10.9395595068699,-20.8284944457018,32.2327912341917
"4",-1.04054686384181,2.25505886710588,-5.87863052482609,12.635540836992
"5",-0.575301204739062,0.440513594215155,-1.63566472787232,4.73093482271684
"6",-0.22956303899257,0.0554763933792187,-0.384080230021084,2.22143897287588
"7",-0.0566659958098565,0.00322134582741488,-0.0133998364052425,2.04253403102982
"8",-0.0501055976957127,0.0025168738867912,-0.000212251373092644,2.04987341657562
"9",-0.0500020540469311,0.00250645643599898,-4.12863433163057e-06,2.04999753519431
"10",-0.050000040076543,0.0025062540276942,-8.05538514451337e-08,2.04999995190817
