"","V1","V2","V3"
"1",-1,2,-5.339
"2",0.333942803563057,0.12395401488775,0.998116258742085
"3",0.215869355224786,0.048771099243888,0.60957091565356
"4",0.13158932525013,0.0176155857358479,0.388945945530528
"5",0.0715823831828061,0.00515029334327316,0.251569647528791
"6",0.0295894110460704,0.000876299804518258,0.161991344534024
"7",0.000988044676897684,9.76233236575321e-07,0.103016200738486
"8",-0.0179230560626076,0.00032133913115164,0.0646066770765054
"9",-0.0300974726797278,0.000906678440172577,0.0400356143214017
"10",-0.0377713347006142,0.00142870912298362,0.0245869319626744
